model_name,sample_size,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch,train_peak_memory_gb,eval_in_loss,eval_in_accuracy,eval_in_runtime,eval_in_samples_per_second,eval_in_steps_per_second,eval_in_peak_memory_gb,eval_out_loss,eval_out_accuracy,eval_out_runtime,eval_out_samples_per_second,eval_out_steps_per_second,eval_out_peak_memory_gb
opt-125m,2,72.6062,1.102,0.551,20940356321280.0,0.6975186601281166,40.0,1.5204076766967773,0.763865053653717,0.56,2.3579,21.206,2.969,1.020885944366455,0.8135073781013489,0.46,2.4241,20.627,2.888,1.020885944366455
opt-125m,2,72.3017,1.106,0.553,20940356321280.0,0.3954311065375805,40.0,1.5196752548217773,0.821978747844696,0.5,2.3876,20.941,2.932,1.020153522491455,0.8736296892166138,0.46,2.3525,21.254,2.976,1.020153522491455
opt-125m,2,72.7591,1.1,0.55,20940356321280.0,0.6342633910477161,40.0,1.5211400985717773,0.7103204131126404,0.44,2.3528,21.251,2.975,1.021618366241455,0.7171524167060852,0.52,2.4178,20.68,2.895,1.021618366241455
opt-125m,2,72.6223,1.102,0.551,20940356321280.0,1.2158010870218277,40.0,1.520401954650879,0.7040294408798218,0.42,2.3694,21.103,2.954,1.0208802223205566,0.7197412252426147,0.52,2.3359,21.405,2.997,1.0208802223205566
opt-125m,2,72.2372,1.107,0.554,20940356321280.0,0.7586250752210617,40.0,1.5211400985717773,0.7280494570732117,0.5,2.4723,20.224,2.831,1.021618366241455,0.7468773126602173,0.46,2.372,21.079,2.951,1.021618366241455
opt-125m,2,72.6612,1.101,0.551,20940356321280.0,0.6517287716269493,40.0,1.520401954650879,0.7466523051261902,0.5,2.3248,21.507,3.011,1.0208802223205566,0.784130871295929,0.46,2.3729,21.071,2.95,1.0208802223205566
opt-125m,2,72.0621,1.11,0.555,20940356321280.0,0.8658725053071976,40.0,1.5211400985717773,0.70514315366745,0.44,2.4041,20.798,2.912,1.021618366241455,0.7120581269264221,0.54,2.3976,20.854,2.92,1.021618366241455
opt-125m,2,72.4282,1.105,0.552,20940356321280.0,0.5409570582211017,40.0,1.520401954650879,0.7471736669540405,0.5,2.425,20.618,2.887,1.0208802223205566,0.7772668600082397,0.46,2.4028,20.809,2.913,1.0208802223205566
opt-125m,2,71.736,1.115,0.558,20940356321280.0,0.6250117540359497,40.0,1.5211400985717773,0.7110151648521423,0.42,2.3643,21.148,2.961,1.021618366241455,0.7147257924079895,0.54,2.448,20.425,2.859,1.021618366241455
opt-125m,2,72.2581,1.107,0.554,20940356321280.0,0.5626516059041023,40.0,1.5196752548217773,0.8177892565727234,0.5,2.3674,21.12,2.957,1.020397663116455,0.8763330578804016,0.46,2.3614,21.174,2.964,1.020397663116455
opt-125m,4,75.1043,2.13,0.533,41880712642560.0,0.7233907163143158,40.0,2.564896583557129,0.713660717010498,0.46,2.3493,21.283,2.98,1.022472858428955,0.736757755279541,0.46,2.3664,21.129,2.958,1.022472858428955
opt-125m,4,75.6043,2.116,0.529,41880712642560.0,0.8459259107708931,40.0,2.565018653869629,0.705697238445282,0.46,2.2934,21.801,3.052,1.020397663116455,0.7144421935081482,0.54,2.3274,21.483,3.008,1.020397663116455
opt-125m,4,75.2072,2.127,0.532,41880712642560.0,0.8059013664722443,40.0,2.563187599182129,0.7085283398628235,0.42,2.3449,21.322,2.985,1.0222229957580566,0.7210209369659424,0.52,2.3511,21.267,2.977,1.0222229957580566
