model_name,sample_size,epoch,train_loss,val_loss
opt-125m,2,1,0.7163,0.8814101219177246
opt-125m,2,2,0.854,0.8818359375
opt-125m,2,3,0.7275,0.8826626539230347
opt-125m,2,4,0.7902,0.8841611742973328
opt-125m,2,5,0.8125,0.8863226175308228
opt-125m,2,6,0.7758,0.8883417844772339
opt-125m,2,7,0.7125,0.8903830647468567
opt-125m,2,8,0.6974,0.8922654390335083
opt-125m,2,9,0.785,0.8942033648490906
opt-125m,2,10,0.7823,0.8961371183395386
opt-125m,2,11,0.748,0.8979066610336304
opt-125m,2,12,0.7382,0.8995196223258972
opt-125m,2,13,0.7935,0.9010517001152039
opt-125m,2,14,0.6308,0.9025139808654785
opt-125m,2,15,0.6791,0.904009222984314
opt-125m,2,16,0.7445,0.9054580926895142
opt-125m,2,17,0.7064,0.9067695736885071
opt-125m,2,18,0.5039,0.9080495834350586
opt-125m,2,19,0.7863,0.9092880487442017
opt-125m,2,20,0.6672,0.9105332493782043
opt-125m,2,21,0.7949,0.9117452502250671
opt-125m,2,22,0.6477,0.9129422307014465
opt-125m,2,23,0.6869,0.9139930009841919
opt-125m,2,24,0.7474,0.915002167224884
opt-125m,2,25,0.6285,0.9158873558044434
opt-125m,2,26,0.6511,0.9167488813400269
opt-125m,2,27,0.7161,0.9175370335578918
opt-125m,2,28,0.702,0.9182464480400085
opt-125m,2,29,0.6001,0.9188936352729797
opt-125m,2,30,0.7468,0.9194713830947876
opt-125m,2,31,0.6294,0.9199814796447754
opt-125m,2,32,0.6969,0.9204327464103699
opt-125m,2,33,0.5355,0.920846164226532
opt-125m,2,34,0.6562,0.921221137046814
opt-125m,2,35,0.6803,0.9215499758720398
opt-125m,2,36,0.6768,0.9218265414237976
opt-125m,2,37,0.7257,0.9220353960990906
opt-125m,2,38,0.453,0.9222061038017273
opt-125m,2,39,0.6661,0.9223129153251648
opt-125m,2,40,0.6079,0.9223664999008179
opt-125m,2,1,0.4849,0.8382819294929504
opt-125m,2,2,0.4794,0.839826226234436
opt-125m,2,3,0.5217,0.8428308367729187
opt-125m,2,4,0.5278,0.8473345041275024
opt-125m,2,5,0.4996,0.8535428047180176
opt-125m,2,6,0.4023,0.8596742749214172
opt-125m,2,7,0.4857,0.8658025860786438
opt-125m,2,8,0.47,0.8718520998954773
opt-125m,2,9,0.5532,0.8778136968612671
opt-125m,2,10,0.5223,0.8836036920547485
opt-125m,2,11,0.3638,0.8892095685005188
opt-125m,2,12,0.5157,0.8946801424026489
opt-125m,2,13,0.4165,0.900002121925354
opt-125m,2,14,0.4227,0.905173122882843
opt-125m,2,15,0.3974,0.9102201461791992
opt-125m,2,16,0.4526,0.9150630831718445
opt-125m,2,17,0.3946,0.9197391271591187
opt-125m,2,18,0.4447,0.9242545366287231
opt-125m,2,19,0.4186,0.9285458326339722
opt-125m,2,20,0.3939,0.9326173663139343
opt-125m,2,21,0.3147,0.9365425109863281
opt-125m,2,22,0.4043,0.9402902722358704
opt-125m,2,23,0.3496,0.9438415765762329
opt-125m,2,24,0.3789,0.9472198486328125
opt-125m,2,25,0.4433,0.9503933191299438
opt-125m,2,26,0.3542,0.9533916711807251
opt-125m,2,27,0.3512,0.9561896324157715
opt-125m,2,28,0.3634,0.9588183164596558
opt-125m,2,29,0.3459,0.961254894733429
opt-125m,2,30,0.2785,0.9634958505630493
opt-125m,2,31,0.2698,0.9655362963676453
opt-125m,2,32,0.3405,0.9673728942871094
opt-125m,2,33,0.298,0.969012439250946
opt-125m,2,34,0.3002,0.9704580307006836
opt-125m,2,35,0.3657,0.9716976881027222
opt-125m,2,36,0.3017,0.9727327227592468
opt-125m,2,37,0.3208,0.97356116771698
opt-125m,2,38,0.2586,0.9741859436035156
opt-125m,2,39,0.3145,0.9746028780937195
opt-125m,2,40,0.2964,0.9748133420944214
opt-125m,2,1,0.7769,0.8382819294929504
opt-125m,2,2,0.7325,0.8366472125053406
opt-125m,2,3,0.9441,0.8334590196609497
opt-125m,2,4,0.7246,0.8288182020187378
opt-125m,2,5,0.8561,0.8226602673530579
opt-125m,2,6,0.8171,0.8166723251342773
opt-125m,2,7,0.8051,0.8108912706375122
opt-125m,2,8,0.7427,0.8053128123283386
opt-125m,2,9,0.7444,0.7999898195266724
opt-125m,2,10,0.6319,0.794899046421051
opt-125m,2,11,0.7003,0.789989709854126
opt-125m,2,12,0.7315,0.7852577567100525
opt-125m,2,13,0.6167,0.7807257175445557
opt-125m,2,14,0.6885,0.7763975858688354
opt-125m,2,15,0.5964,0.7722744941711426
opt-125m,2,16,0.7896,0.768328070640564
opt-125m,2,17,0.603,0.7645928859710693
opt-125m,2,18,0.5721,0.7610717415809631
opt-125m,2,19,0.5438,0.7577350735664368
opt-125m,2,20,0.5884,0.7545720338821411
opt-125m,2,21,0.6366,0.7515641450881958
opt-125m,2,22,0.6557,0.7487132549285889
opt-125m,2,23,0.5854,0.7460245490074158
opt-125m,2,24,0.6019,0.7435168027877808
opt-125m,2,25,0.6502,0.7411905527114868
opt-125m,2,26,0.4842,0.7390144467353821
opt-125m,2,27,0.5317,0.7369951009750366
opt-125m,2,28,0.5705,0.7351325154304504
opt-125m,2,29,0.4855,0.7334168553352356
opt-125m,2,30,0.5402,0.7318588495254517
opt-125m,2,31,0.5181,0.7304348349571228
opt-125m,2,32,0.6082,0.7291617393493652
opt-125m,2,33,0.5933,0.7280302047729492
opt-125m,2,34,0.5015,0.7270445823669434
opt-125m,2,35,0.5198,0.7262049913406372
opt-125m,2,36,0.4959,0.725504994392395
opt-125m,2,37,0.5492,0.7249451279640198
opt-125m,2,38,0.5651,0.7245250940322876
opt-125m,2,39,0.4809,0.7242461442947388
opt-125m,2,40,0.5914,0.7241063714027405
opt-125m,2,1,1.5244,0.8382819294929504
opt-125m,2,2,1.5237,0.836833119392395
opt-125m,2,3,1.3671,0.8340074419975281
opt-125m,2,4,1.4926,0.8298638463020325
opt-125m,2,5,1.6977,0.8244225382804871
opt-125m,2,6,1.4472,0.8192054629325867
opt-125m,2,7,1.4462,0.8141809701919556
opt-125m,2,8,1.4909,0.8093504905700684
opt-125m,2,9,1.5935,0.8047207593917847
opt-125m,2,10,1.3795,0.8003255724906921
opt-125m,2,11,1.244,0.7960706949234009
opt-125m,2,12,1.3381,0.7919346690177917
opt-125m,2,13,1.2571,0.7879465818405151
opt-125m,2,14,1.1733,0.7841259241104126
opt-125m,2,15,1.1101,0.7804790735244751
