model_name,sample_size,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch,train_peak_memory_gb,eval_in_loss,eval_in_accuracy,eval_in_runtime,eval_in_samples_per_second,eval_in_steps_per_second,eval_in_peak_memory_gb,eval_out_loss,eval_out_accuracy,eval_out_runtime,eval_out_samples_per_second,eval_out_steps_per_second,eval_out_peak_memory_gb
opt-125m,2,76.6694,1.043,0.522,20903740047360.0,0.09104223455869942,40.0,2.501254081726074,1.6512948274612427,0.52,2.3888,20.931,2.93,1.9606671333312988,1.3591598272323608,0.46,2.3738,21.063,2.949,1.9606671333312988
opt-125m,2,74.3417,1.076,0.538,20903740047360.0,0.049839600150153276,40.0,2.509810447692871,3.6590774059295654,0.5,2.5261,19.794,2.771,1.9703221321105957,2.7978763580322266,0.46,2.4061,20.78,2.909,1.9703221321105957
opt-125m,2,74.1056,1.08,0.54,20903740047360.0,0.08353768109982411,40.0,2.509793281555176,3.0681917667388916,0.5,2.3941,20.884,2.924,1.9689679145812988,2.241699457168579,0.54,2.4005,20.829,2.916,1.9689679145812988
opt-125m,2,74.1444,1.079,0.539,20903740047360.0,0.1614820058010082,40.0,2.503951072692871,3.0835771560668945,0.5,2.3644,21.147,2.961,1.9644627571105957,2.3465769290924072,0.54,2.4877,20.099,2.814,1.9644627571105957
opt-125m,2,74.8613,1.069,0.534,20903740047360.0,0.1133302556212584,40.0,2.507845878601074,0.8743894100189209,0.5,2.3876,20.941,2.932,1.9672589302062988,0.6655565500259399,0.62,2.4028,20.809,2.913,1.9672589302062988
opt-125m,2,74.4693,1.074,0.537,20903740047360.0,0.09114095647673821,40.0,2.5058984756469727,1.4284957647323608,0.54,2.3149,21.599,3.024,1.9651951789855957,0.9019846320152283,0.46,2.3264,21.493,3.009,1.9651951789855957
opt-125m,2,74.0566,1.08,0.54,20903740047360.0,0.11192005892853558,40.0,2.5049219131469727,3.0923309326171875,0.5,2.3359,21.405,2.997,1.9643349647521973,2.407954454421997,0.54,2.3252,21.504,3.011,1.9643349647521973
opt-125m,2,73.7771,1.084,0.542,20903740047360.0,0.07167190347390714,40.0,2.506625175476074,1.1013184785842896,0.5,2.3198,21.554,3.018,1.9666543006896973,0.7585542798042297,0.5,2.3195,21.557,3.018,1.9666543006896973
opt-125m,2,72.8753,1.098,0.549,20903740047360.0,0.08265501392070292,40.0,2.504672050476074,2.8509795665740967,0.5,2.4463,20.439,2.861,1.9640908241271973,2.5146594047546387,0.54,2.3081,21.663,3.033,1.9640908241271973
opt-125m,2,72.9848,1.096,0.548,20903740047360.0,0.06869642752426444,40.0,2.506863594055176,3.2965588569641113,0.5,2.2699,22.027,3.084,1.9664044380187988,3.2080578804016113,0.46,2.322,21.533,3.015,1.9664044380187988
opt-125m,4,76.6865,2.086,0.522,41807480094720.0,0.09192299126625585,40.0,3.5672483444213867,2.02266263961792,0.5,2.281,21.92,3.069,1.9687294960021973,1.3133018016815186,0.54,2.3071,21.672,3.034,1.9687294960021973
opt-125m,4,76.5579,2.09,0.522,41807480094720.0,0.11490638980503717,40.0,3.5628538131713867,2.1557531356811523,0.5,2.3292,21.467,3.005,1.9656777381896973,1.9119937419891357,0.54,2.3385,21.381,2.993,1.9656777381896973
opt-125m,4,76.8734,2.081,0.52,41807480094720.0,0.11094205439439975,40.0,3.5630979537963867,2.423065662384033,0.5,2.3354,21.409,2.997,1.9650673866271973,1.4038910865783691,0.54,2.315,21.598,3.024,1.9650673866271973
opt-125m,4,76.2049,2.1,0.525,41807480094720.0,0.11501682789021288,40.0,3.557488441467285,0.7683770060539246,0.54,2.2974,21.764,3.047,1.9608006477355957,0.7793896198272705,0.5,2.3095,21.65,3.031,1.9608006477355957
