model_name,sample_size,epoch,train_loss,val_loss
opt-125m,2,1,0.5417,0.6823172569274902
opt-125m,2,2,0.6562,0.6802356243133545
opt-125m,2,3,0.6007,0.6766036748886108
opt-125m,2,4,0.4579,0.6695037484169006
opt-125m,2,5,0.2541,0.6584781408309937
opt-125m,2,6,0.2006,0.6497859954833984
opt-125m,2,7,0.0927,0.6425051093101501
opt-125m,2,8,0.053,0.6365993618965149
opt-125m,2,9,0.0254,0.6316581964492798
opt-125m,2,10,0.0183,0.6277209520339966
opt-125m,2,11,0.0109,0.6238160133361816
opt-125m,2,12,0.0088,0.6191328763961792
opt-125m,2,13,0.004,0.6148402094841003
opt-125m,2,14,0.0024,0.6109827160835266
opt-125m,2,15,0.0016,0.6074539422988892
opt-125m,2,16,0.0012,0.6042709946632385
opt-125m,2,17,0.0012,0.6016684770584106
opt-125m,2,18,0.001,0.5994243025779724
opt-125m,2,19,0.0007,0.5974448323249817
opt-125m,2,20,0.0006,0.5954324007034302
opt-125m,2,21,0.0004,0.5936186909675598
opt-125m,2,22,0.0004,0.5921297073364258
opt-125m,2,23,0.0003,0.5908671617507935
opt-125m,2,24,0.0002,0.5897637605667114
opt-125m,2,25,0.0003,0.5889027118682861
opt-125m,2,26,0.0002,0.5881765484809875
opt-125m,2,27,0.0003,0.5876136422157288
opt-125m,2,28,0.0003,0.5871589779853821
opt-125m,2,29,0.0002,0.5867719650268555
opt-125m,2,30,0.0002,0.5864457488059998
opt-125m,2,31,0.0002,0.5861802101135254
opt-125m,2,32,0.0002,0.5859463810920715
opt-125m,2,33,0.0002,0.5857584476470947
opt-125m,2,34,0.0002,0.585602879524231
opt-125m,2,35,0.0001,0.5854787826538086
opt-125m,2,36,0.0002,0.5853821039199829
opt-125m,2,37,0.0002,0.5853089690208435
opt-125m,2,38,0.0001,0.5852571725845337
opt-125m,2,39,0.0002,0.5852245092391968
opt-125m,2,40,0.0001,0.5852087736129761
opt-125m,4,1,0.5751,0.6823172569274902
opt-125m,4,2,0.561,0.6865927577018738
opt-125m,4,3,0.4855,0.6979302167892456
opt-125m,4,4,0.313,0.7195539474487305
opt-125m,4,5,0.2408,0.7506411671638489
opt-125m,4,6,0.1228,0.777499794960022
opt-125m,4,7,0.0723,0.7990185022354126
opt-125m,4,8,0.0425,0.814210057258606
opt-125m,4,9,0.0288,0.8218307495117188
opt-125m,4,10,0.0146,0.8248062133789062
opt-125m,4,11,0.0119,0.826951801776886
opt-125m,4,12,0.0077,0.8277789354324341
opt-125m,4,13,0.0039,0.8296065330505371
opt-125m,4,14,0.0025,0.8317545652389526
opt-125m,4,15,0.0019,0.8349596858024597
opt-125m,4,16,0.0016,0.8392693400382996
opt-125m,4,17,0.0009,0.844534695148468
opt-125m,4,18,0.0009,0.8504613041877747
opt-125m,4,19,0.0006,0.8562495112419128
opt-125m,4,20,0.0005,0.862116813659668
opt-125m,4,21,0.0004,0.8677515983581543
opt-125m,4,22,0.0004,0.8727391362190247
opt-125m,4,23,0.0003,0.8773015141487122
opt-125m,4,24,0.0003,0.8815388679504395
opt-125m,4,25,0.0003,0.8855970501899719
opt-125m,4,26,0.0002,0.8893276453018188
opt-125m,4,27,0.0002,0.8926286697387695
opt-125m,4,28,0.0002,0.8956405520439148
opt-125m,4,29,0.0002,0.8983335494995117
opt-125m,4,30,0.0002,0.9007137417793274
opt-125m,4,31,0.0002,0.9028235673904419
opt-125m,4,32,0.0002,0.9046443104743958
opt-125m,4,33,0.0002,0.9061347246170044
opt-125m,4,34,0.0002,0.9074044227600098
opt-125m,4,35,0.0002,0.9084394574165344
opt-125m,4,36,0.0001,0.9092695116996765
opt-125m,4,37,0.0002,0.90989750623703
opt-125m,4,38,0.0001,0.9103397130966187
opt-125m,4,39,0.0001,0.9106196165084839
opt-125m,4,40,0.0001,0.9107546806335449
opt-350m,2,1,1.0762,1.1440174579620361
opt-350m,2,2,1.2212,1.1049432754516602
opt-350m,2,3,0.6926,1.0461409091949463
opt-350m,2,4,0.1557,0.9907014966011047
opt-350m,2,5,0.0427,0.9732445478439331
opt-350m,2,6,0.0032,0.9590311050415039
opt-350m,2,7,0.0009,0.9554767608642578
opt-350m,2,8,0.0,0.9590370059013367
opt-350m,2,9,0.0,0.9578157663345337
opt-350m,2,10,0.0,0.9575005769729614
opt-350m,2,11,0.0,0.9589449167251587
opt-350m,2,12,0.0,0.9597770571708679
opt-350m,2,13,0.0,0.9598745107650757
opt-350m,2,14,0.0,0.9581511616706848
opt-350m,2,15,0.0,0.9557663202285767
opt-350m,2,16,0.0,0.9520000219345093
opt-350m,2,17,0.0,0.9480663537979126
opt-350m,2,18,0.0,0.9446970224380493
opt-350m,2,19,0.0,0.9416801333427429
opt-350m,2,20,0.0,0.9393146634101868
opt-350m,2,21,0.0,0.9375258684158325
opt-350m,2,22,0.0,0.9360159039497375
opt-350m,2,23,0.0,0.9345923662185669
opt-350m,2,24,0.0,0.9332841634750366
opt-350m,2,25,0.0,0.9321783185005188
opt-350m,2,26,0.0,0.9311413764953613
opt-350m,2,27,0.0,0.9302382469177246
opt-350m,2,28,0.0,0.9294017553329468
opt-350m,2,29,0.0,0.9286566972732544
opt-350m,2,30,0.0,0.928022563457489
opt-350m,2,31,0.0,0.9275186657905579
opt-350m,2,32,0.0,0.9271078109741211
opt-350m,2,33,0.0,0.9267643690109253
opt-350m,2,34,0.0,0.9264854192733765
opt-350m,2,35,0.0,0.9262627363204956
opt-350m,2,36,0.0,0.9260941743850708
opt-350m,2,37,0.0,0.9259742498397827
opt-350m,2,38,0.0,0.9258931875228882
opt-350m,2,39,0.0,0.9258455038070679
opt-350m,2,40,0.0,0.9258228540420532
opt-350m,4,1,0.8508,1.1440174579620361
opt-350m,4,2,1.0696,1.2696506977081299
opt-350m,4,3,0.7426,1.6101293563842773
opt-350m,4,4,0.1598,1.9955297708511353
opt-350m,4,5,0.0326,2.1375348567962646
opt-350m,4,6,0.0083,2.022218704223633
opt-350m,4,7,0.0005,1.9242286682128906
opt-350m,4,8,0.0002,1.8321325778961182
opt-350m,4,9,0.0,1.7380632162094116
opt-350m,4,10,0.0,1.6459795236587524
opt-350m,4,11,0.0,1.5606783628463745
opt-350m,4,12,0.0,1.4819631576538086
opt-350m,4,13,0.0,1.410995364189148
opt-350m,4,14,0.0,1.350298285484314
opt-350m,4,15,0.0,1.2990309000015259
opt-350m,4,16,0.0,1.256042242050171
opt-350m,4,17,0.0,1.22067391872406
opt-350m,4,18,0.0,1.1910560131072998
opt-350m,4,19,0.0,1.1669665575027466
opt-350m,4,20,0.0,1.147626280784607
opt-350m,4,21,0.0,1.1315085887908936
opt-350m,4,22,0.0,1.1181707382202148
opt-350m,4,23,0.0,1.1073100566864014
opt-350m,4,24,0.0,1.0985541343688965
opt-350m,4,25,0.0,1.091408371925354
opt-350m,4,26,0.0,1.0854487419128418
opt-350m,4,27,0.0,1.0804022550582886
opt-350m,4,28,0.0,1.0761059522628784
opt-350m,4,29,0.0,1.0725853443145752
opt-350m,4,30,0.0,1.0697071552276611
opt-350m,4,31,0.0,1.0673481225967407
opt-350m,4,32,0.0,1.0654646158218384
opt-350m,4,33,0.0,1.0639649629592896
opt-350m,4,34,0.0,1.0627710819244385
opt-350m,4,35,0.0,1.061847448348999
opt-350m,4,36,0.0,1.0611597299575806
opt-350m,4,37,0.0,1.0606622695922852
opt-350m,4,38,0.0,1.06032395362854
opt-350m,4,39,0.0,1.0601208209991455
opt-350m,4,40,0.0,1.0600286722183228
