model_name,sample_size,epoch,train_loss,val_loss
opt-125m,2,1,0.7361,0.6993809938430786
opt-125m,2,2,0.7685,0.7055066823959351
opt-125m,2,3,0.5733,0.7202425599098206
opt-125m,2,4,0.6349,0.7446218729019165
opt-125m,2,5,0.274,0.7764045596122742
opt-125m,2,6,0.1973,0.8075003623962402
opt-125m,2,7,0.1367,0.8374040722846985
opt-125m,2,8,0.1348,0.8605373501777649
opt-125m,2,9,0.0613,0.8802732229232788
opt-125m,2,10,0.0396,0.8991421461105347
opt-125m,2,11,0.0234,0.9141498804092407
opt-125m,2,12,0.018,0.9304310083389282
opt-125m,2,13,0.013,0.9428683519363403
opt-125m,2,14,0.0069,0.9562761187553406
opt-125m,2,15,0.0049,0.9708839654922485
opt-125m,2,16,0.0038,0.9864659309387207
opt-125m,2,17,0.002,1.0023107528686523
opt-125m,2,18,0.0021,1.019007682800293
opt-125m,2,19,0.0013,1.0349750518798828
opt-125m,2,20,0.0011,1.0495299100875854
opt-125m,2,21,0.001,1.0630693435668945
opt-125m,2,22,0.0008,1.0759010314941406
opt-125m,2,23,0.0008,1.0880006551742554
opt-125m,2,24,0.0008,1.099005937576294
opt-125m,2,25,0.0004,1.1087912321090698
opt-125m,2,26,0.0005,1.117490291595459
opt-125m,2,27,0.0004,1.125346064567566
opt-125m,2,28,0.0004,1.1322510242462158
opt-125m,2,29,0.0004,1.1380589008331299
opt-125m,2,30,0.0004,1.1430188417434692
opt-125m,2,31,0.0003,1.1471771001815796
opt-125m,2,32,0.0003,1.150651216506958
opt-125m,2,33,0.0002,1.1535437107086182
opt-125m,2,34,0.0003,1.1558949947357178
opt-125m,2,35,0.0003,1.1578128337860107
opt-125m,2,36,0.0003,1.1593327522277832
opt-125m,2,37,0.0004,1.1604347229003906
opt-125m,2,38,0.0002,1.1611920595169067
opt-125m,2,39,0.0002,1.1616594791412354
opt-125m,2,40,0.0002,1.1618777513504028
opt-125m,2,1,0.5675,0.8382819294929504
opt-125m,2,2,0.4702,0.8685700297355652
opt-125m,2,3,0.3837,0.9340850710868835
opt-125m,2,4,0.2837,1.0450434684753418
opt-125m,2,5,0.1412,1.2098119258880615
opt-125m,2,6,0.0856,1.3762662410736084
opt-125m,2,7,0.0324,1.5388658046722412
opt-125m,2,8,0.0122,1.7025864124298096
opt-125m,2,9,0.0075,1.8666070699691772
opt-125m,2,10,0.0038,2.0271615982055664
opt-125m,2,11,0.0019,2.178053379058838
opt-125m,2,12,0.001,2.319032907485962
opt-125m,2,13,0.0006,2.447476625442505
opt-125m,2,14,0.0005,2.5640177726745605
opt-125m,2,15,0.0003,2.669551134109497
opt-125m,2,16,0.0002,2.764244794845581
opt-125m,2,17,0.0002,2.8488576412200928
opt-125m,2,18,0.0001,2.924325466156006
opt-125m,2,19,0.0001,2.99153208732605
opt-125m,2,20,0.0001,3.0508148670196533
opt-125m,2,21,0.0001,3.103045701980591
opt-125m,2,22,0.0001,3.1490352153778076
opt-125m,2,23,0.0001,3.1891465187072754
opt-125m,2,24,0.0001,3.224118709564209
opt-125m,2,25,0.0001,3.254399061203003
opt-125m,2,26,0.0,3.2805473804473877
opt-125m,2,27,0.0,3.3029987812042236
opt-125m,2,28,0.0,3.3222365379333496
opt-125m,2,29,0.0,3.338561534881592
opt-125m,2,30,0.0,3.3523528575897217
opt-125m,2,31,0.0,3.3639042377471924
opt-125m,2,32,0.0,3.3735523223876953
opt-125m,2,33,0.0,3.3814709186553955
opt-125m,2,34,0.0,3.3878586292266846
opt-125m,2,35,0.0,3.3929126262664795
opt-125m,2,36,0.0,3.3967957496643066
opt-125m,2,37,0.0,3.3996500968933105
opt-125m,2,38,0.0,3.4016315937042236
opt-125m,2,39,0.0,3.402857542037964
opt-125m,2,40,0.0,3.403423309326172
opt-125m,2,1,0.7908,0.8382819294929504
opt-125m,2,2,0.7862,0.8075044751167297
opt-125m,2,3,0.6165,0.7517964839935303
opt-125m,2,4,0.513,0.6802557110786438
opt-125m,2,5,0.3152,0.608938992023468
opt-125m,2,6,0.1652,0.5686672329902649
opt-125m,2,7,0.0761,0.5580317974090576
opt-125m,2,8,0.0305,0.5720729827880859
opt-125m,2,9,0.022,0.6045231819152832
opt-125m,2,10,0.0115,0.6503674983978271
opt-125m,2,11,0.0062,0.7043443322181702
opt-125m,2,12,0.0029,0.7630413770675659
opt-125m,2,13,0.0013,0.8225523829460144
opt-125m,2,14,0.001,0.8813027143478394
opt-125m,2,15,0.0007,0.9391576051712036
opt-125m,2,16,0.0004,0.99445641040802
opt-125m,2,17,0.0003,1.0458656549453735
opt-125m,2,18,0.0003,1.093245506286621
opt-125m,2,19,0.0002,1.1358140707015991
opt-125m,2,20,0.0001,1.1734802722930908
opt-125m,2,21,0.0001,1.2063947916030884
opt-125m,2,22,0.0001,1.235658049583435
opt-125m,2,23,0.0001,1.2613964080810547
opt-125m,2,24,0.0001,1.283888339996338
opt-125m,2,25,0.0001,1.3032445907592773
opt-125m,2,26,0.0001,1.319810152053833
opt-125m,2,27,0.0001,1.3340253829956055
opt-125m,2,28,0.0001,1.3461863994598389
opt-125m,2,29,0.0,1.356580138206482
opt-125m,2,30,0.0,1.3653945922851562
opt-125m,2,31,0.0001,1.3728374242782593
opt-125m,2,32,0.0,1.3790547847747803
opt-125m,2,33,0.0001,1.3841521739959717
opt-125m,2,34,0.0,1.3882651329040527
opt-125m,2,35,0.0001,1.3915674686431885
opt-125m,2,36,0.0,1.3941395282745361
opt-125m,2,37,0.0,1.3960415124893188
opt-125m,2,38,0.0,1.3973767757415771
opt-125m,2,39,0.0,1.3982019424438477
opt-125m,2,40,0.0001,1.3985990285873413
opt-125m,2,1,1.2255,0.8382819294929504
opt-125m,2,2,1.7024,0.8125709295272827
opt-125m,2,3,1.4009,0.7603296637535095
opt-125m,2,4,1.0091,0.6935356855392456
opt-125m,2,5,0.5277,0.636113703250885
opt-125m,2,6,0.2622,0.6076607704162598
opt-125m,2,7,0.1566,0.6080614328384399
opt-125m,2,8,0.075,0.6324008107185364
opt-125m,2,9,0.0538,0.6741502285003662
opt-125m,2,10,0.0204,0.7260833978652954
opt-125m,2,11,0.011,0.786682665348053
opt-125m,2,12,0.0059,0.8512628674507141
opt-125m,2,13,0.0022,0.9146286845207214
opt-125m,2,14,0.002,0.9753323793411255
opt-125m,2,15,0.0011,1.0350004434585571
opt-125m,2,16,0.0005,1.0900856256484985
opt-125m,2,17,0.0007,1.1428910493850708
opt-125m,2,18,0.0004,1.1914117336273193
opt-125m,2,19,0.0002,1.2345470190048218
opt-125m,2,20,0.0002,1.273032784461975
opt-125m,2,21,0.0002,1.3071824312210083
opt-125m,2,22,0.0002,1.337884545326233
opt-125m,2,23,0.0001,1.3655128479003906
opt-125m,2,24,0.0001,1.3899059295654297
opt-125m,2,25,0.0001,1.4115135669708252
opt-125m,2,26,0.0001,1.4306892156600952
opt-125m,2,27,0.0001,1.447385549545288
opt-125m,2,28,0.0001,1.4618486166000366
opt-125m,2,29,0.0001,1.4742887020111084
opt-125m,2,30,0.0001,1.4848352670669556
opt-125m,2,31,0.0001,1.4937922954559326
opt-125m,2,32,0.0,1.5012314319610596
opt-125m,2,33,0.0001,1.5073350667953491
opt-125m,2,34,0.0,1.5122671127319336
opt-125m,2,35,0.0001,1.51620352268219
opt-125m,2,36,0.0001,1.5192508697509766
opt-125m,2,37,0.0001,1.5215193033218384
opt-125m,2,38,0.0001,1.5231072902679443
opt-125m,2,39,0.0001,1.5241018533706665
opt-125m,2,40,0.0001,1.5245749950408936
opt-125m,2,1,0.93,0.8382819294929504
opt-125m,2,2,0.9718,0.828581690788269
opt-125m,2,3,0.8304,0.8021087646484375
opt-125m,2,4,0.6083,0.7698190808296204
opt-125m,2,5,0.4669,0.7357150316238403
opt-125m,2,6,0.286,0.7070569396018982
opt-125m,2,7,0.1673,0.6784564256668091
opt-125m,2,8,0.0842,0.6577807664871216
opt-125m,2,9,0.0643,0.6431092619895935
opt-125m,2,10,0.0498,0.6313349604606628
opt-125m,2,11,0.0239,0.6222333312034607
opt-125m,2,12,0.0162,0.6142979860305786
opt-125m,2,13,0.0098,0.6070388555526733
opt-125m,2,14,0.0058,0.6008775234222412
opt-125m,2,15,0.0052,0.5959891080856323
opt-125m,2,16,0.0044,0.592603325843811
opt-125m,2,17,0.0016,0.5898672938346863
opt-125m,2,18,0.0014,0.5873751640319824
opt-125m,2,19,0.0007,0.5849088430404663
opt-125m,2,20,0.0009,0.5827350616455078
opt-125m,2,21,0.0006,0.5807838439941406
opt-125m,2,22,0.0006,0.5789786577224731
opt-125m,2,23,0.0003,0.5773776173591614
opt-125m,2,24,0.0003,0.5758876800537109
opt-125m,2,25,0.0003,0.5746693015098572
opt-125m,2,26,0.0002,0.5736988186836243
opt-125m,2,27,0.0002,0.572820246219635
opt-125m,2,28,0.0002,0.5719925761222839
opt-125m,2,29,0.0002,0.5712827444076538
opt-125m,2,30,0.0002,0.5706669688224792
opt-125m,2,31,0.0002,0.57014399766922
opt-125m,2,32,0.0002,0.5697121620178223
opt-125m,2,33,0.0001,0.5693586468696594
opt-125m,2,34,0.0001,0.5690736770629883
opt-125m,2,35,0.0001,0.5688512325286865
opt-125m,2,36,0.0001,0.5686835050582886
opt-125m,2,37,0.0001,0.568558931350708
opt-125m,2,38,0.0002,0.5684672594070435
opt-125m,2,39,0.0001,0.56840980052948
opt-125m,2,40,0.0001,0.5683837532997131
opt-125m,2,1,0.6158,0.8382819294929504
opt-125m,2,2,0.7193,0.8357887268066406
opt-125m,2,3,0.7567,0.8383998870849609
opt-125m,2,4,0.5247,0.8379012942314148
opt-125m,2,5,0.3771,0.8374202847480774
opt-125m,2,6,0.2014,0.8320469856262207
opt-125m,2,7,0.1681,0.8272309303283691
opt-125m,2,8,0.1256,0.8175139427185059
opt-125m,2,9,0.0624,0.8106342554092407
opt-125m,2,10,0.0335,0.8016842007637024
opt-125m,2,11,0.0197,0.796999454498291
opt-125m,2,12,0.0109,0.7918350100517273
opt-125m,2,13,0.0085,0.7907111644744873
opt-125m,2,14,0.0045,0.7917507290840149
opt-125m,2,15,0.003,0.7941628694534302
opt-125m,2,16,0.0029,0.7997363805770874
opt-125m,2,17,0.0019,0.8068288564682007
opt-125m,2,18,0.0013,0.8139826059341431
opt-125m,2,19,0.001,0.8215500712394714
opt-125m,2,20,0.0014,0.82989901304245
opt-125m,2,21,0.0008,0.8380158543586731
opt-125m,2,22,0.0007,0.8455387949943542
opt-125m,2,23,0.0004,0.8523399233818054
opt-125m,2,24,0.0004,0.8582882881164551
opt-125m,2,25,0.0003,0.8634545207023621
opt-125m,2,26,0.0003,0.8680477142333984
opt-125m,2,27,0.0003,0.8721267580986023
opt-125m,2,28,0.0003,0.8757987022399902
opt-125m,2,29,0.0002,0.8790332674980164
opt-125m,2,30,0.0003,0.8818521499633789
opt-125m,2,31,0.0003,0.884308934211731
opt-125m,2,32,0.0003,0.8863539695739746
opt-125m,2,33,0.0003,0.8880470395088196
opt-125m,2,34,0.0002,0.889447808265686
opt-125m,2,35,0.0002,0.8905546069145203
opt-125m,2,36,0.0002,0.8914352655410767
opt-125m,2,37,0.0002,0.892081081867218
opt-125m,2,38,0.0002,0.8925338983535767
opt-125m,2,39,0.0002,0.8928123712539673
opt-125m,2,40,0.0002,0.8929439783096313
opt-125m,2,1,1.1565,0.8382819294929504
opt-125m,2,2,1.0025,0.8056693077087402
opt-125m,2,3,0.966,0.7445107698440552
opt-125m,2,4,0.6273,0.6670299768447876
opt-125m,2,5,0.3937,0.598322868347168
opt-125m,2,6,0.1706,0.5675309300422668
opt-125m,2,7,0.0791,0.5707666277885437
opt-125m,2,8,0.0425,0.5948765277862549
opt-125m,2,9,0.0166,0.6344733834266663
opt-125m,2,10,0.011,0.6913378834724426
opt-125m,2,11,0.0048,0.7550927996635437
opt-125m,2,12,0.0024,0.8215900659561157
opt-125m,2,13,0.0009,0.8884871602058411
opt-125m,2,14,0.0006,0.9525087475776672
opt-125m,2,15,0.0005,1.0123072862625122
opt-125m,2,16,0.0003,1.0685200691223145
opt-125m,2,17,0.0002,1.1202539205551147
opt-125m,2,18,0.0001,1.1671326160430908
opt-125m,2,19,0.0001,1.2094593048095703
opt-125m,2,20,0.0001,1.2470648288726807
opt-125m,2,21,0.0001,1.280719518661499
opt-125m,2,22,0.0001,1.3105413913726807
opt-125m,2,23,0.0001,1.3367151021957397
opt-125m,2,24,0.0001,1.3593552112579346
opt-125m,2,25,0.0001,1.3787915706634521
opt-125m,2,26,0.0,1.3955421447753906
opt-125m,2,27,0.0001,1.4100463390350342
opt-125m,2,28,0.0,1.4223785400390625
opt-125m,2,29,0.0,1.4328911304473877
opt-125m,2,30,0.0,1.4417654275894165
opt-125m,2,31,0.0,1.4492065906524658
opt-125m,2,32,0.0,1.4553714990615845
opt-125m,2,33,0.0,1.46043062210083
opt-125m,2,34,0.0,1.4645272493362427
opt-125m,2,35,0.0,1.4677770137786865
opt-125m,2,36,0.0,1.4703056812286377
opt-125m,2,37,0.0,1.472177505493164
opt-125m,2,38,0.0,1.4734766483306885
opt-125m,2,39,0.0,1.4742778539657593
opt-125m,2,40,0.0,1.4746500253677368
opt-125m,2,1,0.6007,0.8382819294929504
opt-125m,2,2,0.663,0.8351091146469116
opt-125m,2,3,0.547,0.8283020257949829
opt-125m,2,4,0.4156,0.8176582455635071
opt-125m,2,5,0.2587,0.8085118532180786
opt-125m,2,6,0.154,0.7958347201347351
opt-125m,2,7,0.0874,0.7826420068740845
opt-125m,2,8,0.0534,0.7683048248291016
opt-125m,2,9,0.0353,0.7567961812019348
opt-125m,2,10,0.0188,0.7480091452598572
opt-125m,2,11,0.0114,0.7345598340034485
opt-125m,2,12,0.0071,0.7222499251365662
opt-125m,2,13,0.0033,0.7124194502830505
opt-125m,2,14,0.0022,0.7043476700782776
opt-125m,2,15,0.0018,0.6981643438339233
opt-125m,2,16,0.0011,0.693698525428772
opt-125m,2,17,0.0008,0.690020740032196
opt-125m,2,18,0.0007,0.6867262721061707
opt-125m,2,19,0.0004,0.6835205554962158
opt-125m,2,20,0.0005,0.680432915687561
opt-125m,2,21,0.0004,0.6777482032775879
opt-125m,2,22,0.0004,0.6753913760185242
opt-125m,2,23,0.0003,0.6732432246208191
opt-125m,2,24,0.0002,0.6713787913322449
opt-125m,2,25,0.0002,0.6697919964790344
opt-125m,2,26,0.0003,0.668329119682312
opt-125m,2,27,0.0001,0.6670600771903992
opt-125m,2,28,0.0002,0.6659375429153442
opt-125m,2,29,0.0002,0.665000855922699
opt-125m,2,30,0.0001,0.6642078161239624
opt-125m,2,31,0.0001,0.6635397672653198
opt-125m,2,32,0.0001,0.6629549264907837
opt-125m,2,33,0.0001,0.6624717712402344
opt-125m,2,34,0.0001,0.66206955909729
opt-125m,2,35,0.0001,0.6617491245269775
opt-125m,2,36,0.0001,0.6614955067634583
opt-125m,2,37,0.0002,0.6613160967826843
opt-125m,2,38,0.0001,0.6611921191215515
opt-125m,2,39,0.0002,0.6610976457595825
opt-125m,2,40,0.0001,0.6610506176948547
opt-125m,2,1,0.8625,0.8382819294929504
opt-125m,2,2,0.7891,0.8037198781967163
opt-125m,2,3,0.6308,0.7408736348152161
opt-125m,2,4,0.4635,0.6644498109817505
opt-125m,2,5,0.2684,0.5926772356033325
opt-125m,2,6,0.1535,0.5573015213012695
opt-125m,2,7,0.0639,0.5510446429252625
opt-125m,2,8,0.032,0.5707652568817139
opt-125m,2,9,0.0172,0.6112314462661743
opt-125m,2,10,0.01,0.6691149473190308
opt-125m,2,11,0.0051,0.7352186441421509
opt-125m,2,12,0.0029,0.805225670337677
opt-125m,2,13,0.0022,0.8758878707885742
opt-125m,2,14,0.001,0.9451867938041687
opt-125m,2,15,0.0007,1.009610652923584
opt-125m,2,16,0.0005,1.068816900253296
opt-125m,2,17,0.0004,1.1228771209716797
opt-125m,2,18,0.0003,1.1716244220733643
opt-125m,2,19,0.0002,1.2154566049575806
opt-125m,2,20,0.0002,1.2544256448745728
opt-125m,2,21,0.0002,1.2889889478683472
opt-125m,2,22,0.0002,1.3195807933807373
opt-125m,2,23,0.0001,1.3464208841323853
opt-125m,2,24,0.0001,1.3697974681854248
opt-125m,2,25,0.0001,1.3901402950286865
opt-125m,2,26,0.0001,1.407674789428711
opt-125m,2,27,0.0001,1.4226776361465454
opt-125m,2,28,0.0001,1.435502529144287
opt-125m,2,29,0.0001,1.4463980197906494
opt-125m,2,30,0.0,1.4556270837783813
opt-125m,2,31,0.0001,1.4633994102478027
opt-125m,2,32,0.0001,1.4697812795639038
opt-125m,2,33,0.0001,1.475010633468628
opt-125m,2,34,0.0001,1.4792125225067139
opt-125m,2,35,0.0001,1.4825252294540405
opt-125m,2,36,0.0001,1.4850631952285767
opt-125m,2,37,0.0,1.486936330795288
opt-125m,2,38,0.0001,1.4882252216339111
opt-125m,2,39,0.0001,1.4890155792236328
opt-125m,2,40,0.0001,1.4893795251846313
opt-125m,2,1,0.7865,0.8382819294929504
opt-125m,2,2,0.592,0.8721400499343872
opt-125m,2,3,0.6152,0.9451339840888977
opt-125m,2,4,0.4351,1.0658559799194336
opt-125m,2,5,0.1785,1.2451331615447998
opt-125m,2,6,0.0763,1.438039779663086
opt-125m,2,7,0.0337,1.6396245956420898
opt-125m,2,8,0.0156,1.8473541736602783
opt-125m,2,9,0.0063,2.05757737159729
opt-125m,2,10,0.0035,2.2648262977600098
opt-125m,2,11,0.0016,2.459488868713379
opt-125m,2,12,0.0009,2.639084577560425
opt-125m,2,13,0.0006,2.802563428878784
opt-125m,2,14,0.0004,2.950751543045044
opt-125m,2,15,0.0003,3.083808183670044
opt-125m,2,16,0.0002,3.2019972801208496
opt-125m,2,17,0.0001,3.3069825172424316
opt-125m,2,18,0.0001,3.400010347366333
opt-125m,2,19,0.0001,3.481931209564209
opt-125m,2,20,0.0001,3.5539424419403076
