model_name,sample_size,eval_in_loss,eval_in_accuracy,eval_in_runtime,eval_in_samples_per_second,eval_in_peak_memory_gb,eval_out_loss,eval_out_accuracy,eval_out_runtime,eval_out_samples_per_second,eval_out_peak_memory_gb
opt-125m,2,0.7108021247386932,0.58,17.31937265396118,2.886940595308705,3.7222185134887695,0.7732616442441941,0.54,16.620090007781982,3.008407293618063,3.7222185134887695
opt-125m,2,0.7411929666996002,0.5,23.790723085403442,2.1016595342861604,3.7218828201293945,0.7788479083776474,0.5,24.1262423992157,2.072432133137542,3.7218828201293945
opt-125m,2,0.699963207244873,0.52,19.877825021743774,2.5153657377155927,3.7229509353637695,0.6931471824645996,0.46,19.924238443374634,2.5095062048219163,3.7229509353637695
opt-125m,2,0.7908021223545074,0.42,22.453338146209717,2.2268403777832186,3.7218828201293945,0.6931471824645996,0.46,22.37856388092041,2.2342809961379677,3.7218828201293945
opt-125m,2,0.7348250168561935,0.58,19.00718379020691,2.6305843386310364,3.7221078872680664,0.6931471824645996,0.46,18.780418634414673,2.6623474680365318,3.7221078872680664
opt-125m,2,0.7320318847894669,0.6,22.4141263961792,2.2307360597610977,3.7210397720336914,0.6495723658800125,0.6,22.694214582443237,2.203204689827915,3.7210397720336914
opt-125m,2,0.7439860987663269,0.48,18.798340797424316,2.659809210760283,3.7221078872680664,0.6931471824645996,0.46,18.826375722885132,2.6558484084231124,3.7221078872680664
opt-125m,2,0.7844341725111008,0.5,22.651829719543457,2.20732720575156,3.7210397720336914,0.6867792326211929,0.54,22.632455110549927,2.209216797548973,3.7210397720336914
opt-125m,2,0.842422724366188,0.36,19.33661150932312,2.585768451514505,3.7221078872680664,0.6675609189271927,0.54,18.827022790908813,2.655757129276116,3.7221078872680664
opt-125m,2,0.7996295934915543,0.46,22.80607271194458,2.1923985173393192,3.7210397720336914,0.7808593547344208,0.52,22.878499746322632,2.185457986948499,3.7210397720336914
opt-125m,4,0.8176181465387344,0.4,19.019969940185547,2.6288159317412796,3.7221078872680664,0.6931471824645996,0.46,20.362655639648438,2.455475399910228,3.7221078872680664
opt-125m,4,0.7611929661035538,0.46,24.074509382247925,2.0768855226129355,3.7210397720336914,0.6931471824645996,0.46,23.985872268676758,2.084560421231593,3.7210397720336914
opt-125m,4,0.8252158570289612,0.38,19.332314014434814,2.586343257339324,3.7221078872680664,0.6931471824645996,0.46,19.177415370941162,2.6072335105054445,3.7221078872680664
opt-125m,4,0.8008593541383743,0.52,25.11016345024109,1.9912255887573658,3.7210397720336914,0.7732616442441941,0.54,25.14029097557068,1.9888393514850722,3.7210397720336914
opt-125m,4,1.0032044053077698,0.0,19.61854887008667,2.5486084792049715,3.7221078872680664,0.9783998274803162,0.0,18.775832176208496,2.662997811801744,3.7221078872680664
opt-125m,4,0.8008593541383743,0.52,23.498406410217285,2.127803865808518,3.7210397720336914,0.7732616442441941,0.54,23.109408378601074,2.163620945238008,3.7210397720336914
opt-125m,4,0.7548250162601471,0.54,18.25487494468689,2.7389943865133177,3.7221078872680664,0.7055494713783265,0.44,18.233277320861816,2.7422387714572802,3.7221078872680664
opt-125m,4,0.7515838092565537,0.46,23.3047137260437,2.1454887018896756,3.7210397720336914,0.7788479083776474,0.5,23.907270908355713,2.0914139548452075,3.7210397720336914
opt-125m,4,0.8148250144720077,0.42,18.339998722076416,2.7262815422017166,3.7221078872680664,0.7292387527227402,0.58,17.843281507492065,2.802175148052555,3.7221078872680664
opt-125m,4,0.8008593541383743,0.52,23.56703281402588,2.1216077727970313,3.7210397720336914,0.7732616442441941,0.54,23.383473873138428,2.1382622732303727,3.7210397720336914
opt-125m,8,0.7199632066488266,0.48,18.091630458831787,2.7637088936664362,3.7221078872680664,0.6399632090330124,0.6,17.99846601486206,2.77801452405516,3.7221078872680664
opt-125m,8,0.8132616430521011,0.5,23.815356254577637,2.0994857043295045,3.7210397720336914,0.7732616442441941,0.54,24.26100206375122,2.060920644110816,3.7210397720336914
opt-125m,8,0.7419746524095535,0.46,18.0088529586792,2.7764122520586723,3.7221078872680664,0.6931471824645996,0.46,17.612976789474487,2.8388159819684766,3.7221078872680664
opt-125m,8,0.7583998340368271,0.48,24.185338735580444,2.067368191392834,3.7210397720336914,0.837618145942688,0.32,24.331993103027344,2.0549077006675254,3.7210397720336914
opt-125m,8,0.7908021223545074,0.42,17.727838039398193,2.8204228789139676,3.7221078872680664,0.6931471824645996,0.46,17.588096141815186,2.8428318560942167,3.7221078872680664
opt-125m,8,0.7459975451231002,0.5,24.351764917373657,2.0532392690900085,3.7210397720336914,0.7576181483268738,0.48,24.277689933776855,2.059504019385157,3.7210397720336914
opt-125m,8,0.7399632060527801,0.44,17.626180171966553,2.8366894875795143,3.7221078872680664,0.6931471824645996,0.46,17.55295419692993,2.8485233561849754,3.7221078872680664
opt-125m,8,0.7303540492057801,0.44,24.470788717269897,2.043252490865292,3.7210397720336914,0.6931471824645996,0.46,24.326401710510254,2.0553800185909714,3.7210397720336914
opt-125m,8,0.7583998340368271,0.48,17.43222403526306,2.8682513429644247,3.7221078872680664,0.7892387509346008,0.46,17.499459266662598,2.8572311428646633,3.7221078872680664
opt-125m,8,0.757170073390007,0.42,24.811092853546143,2.01522763608753,3.7210397720336914,0.6931471824645996,0.46,24.5108962059021,2.0399090910417326,3.7210397720336914
opt-125m,16,0.6931471824645996,0.5,17.932090997695923,2.7882972491286404,3.7221078872680664,0.6931471824645996,0.46,17.69778537750244,2.8252122473787247,3.7221078872680664
opt-125m,16,0.8132616430521011,0.5,25.545969247817993,1.9572559379116432,3.7210397720336914,0.7732616442441941,0.54,25.244720220565796,1.9806121661537424,3.7210397720336914
opt-125m,16,1.0032044053077698,0.0,17.453497171401978,2.86475538449259,3.7221078872680664,0.9783998274803162,0.0,17.191876649856567,2.9083503225587157,3.7221078872680664
opt-125m,16,0.8132616430521011,0.5,24.99620294570923,2.0003038104866584,3.7210397720336914,0.7732616442441941,0.54,25.144165754318237,1.9885328663733075,3.7210397720336914
opt-125m,16,0.8132616430521011,0.5,17.505260705947876,2.856284224490937,3.7221078872680664,0.7732616442441941,0.54,17.360607862472534,2.8800834853301556,3.7221078872680664
opt-125m,16,0.8132616430521011,0.5,25.5755136013031,1.9549949525726218,3.7210397720336914,0.7732616442441941,0.54,25.16196060180664,1.9871265515140333,3.7210397720336914
opt-125m,16,0.6931471824645996,0.5,17.838812589645386,2.802877139312664,3.7221078872680664,0.6931471824645996,0.46,18.166581392288208,2.7523064973151863,3.7221078872680664
opt-125m,16,0.8132616430521011,0.5,25.279239177703857,1.9779076280151544,3.7210397720336914,0.7732616442441941,0.54,25.258501052856445,1.9795315602999957,3.7210397720336914
opt-125m,16,0.8132616430521011,0.5,17.72458291053772,2.8209408510410543,3.7221078872680664,0.7732616442441941,0.54,17.563043355941772,2.8468870107915802,3.7221078872680664
opt-125m,16,1.0032044053077698,0.0,25.01645040512085,1.9986848329915357,3.7210397720336914,0.9783998274803162,0.0,24.848942041397095,2.0121580997976696,3.7210397720336914
opt-350m,2,0.7108021247386932,0.58,64.82506656646729,0.7713065739582904,7.325840950012207,0.7636524873971939,0.54,64.65242671966553,0.773366175670423,7.325840950012207
opt-350m,2,0.7712501978874207,0.56,76.306649684906,0.6552508884411204,7.313279151916504,0.7732616442441941,0.54,75.98059010505676,0.6580628017085159,7.313279151916504
