model_name,sample_size,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch,train_peak_memory_gb,eval_in_loss,eval_in_accuracy,eval_in_runtime,eval_in_samples_per_second,eval_in_steps_per_second,eval_in_peak_memory_gb,eval_out_loss,eval_out_accuracy,eval_out_runtime,eval_out_samples_per_second,eval_out_steps_per_second,eval_out_peak_memory_gb
opt-125m,2,161.6577,0.495,0.247,20903740047360.0,0.07343715172901284,40.0,3.4397921562194824,1.0677809715270996,0.42,11.8801,4.209,0.168,3.5683836936950684,0.6918342709541321,0.56,11.1613,4.48,0.179,3.5683836936950684
opt-125m,2,162.9519,0.491,0.245,20903740047360.0,0.06406987716422918,40.0,3.449307918548584,3.9183051586151123,0.42,15.3783,3.251,0.13,3.577136516571045,2.8996388912200928,0.44,14.84,3.369,0.135,3.577136516571045
opt-125m,2,181.5397,0.441,0.22,20903740047360.0,0.07031263857638806,40.0,3.450772762298584,3.0686354637145996,0.58,11.3854,4.392,0.176,3.57936429977417,2.8674676418304443,0.56,11.3603,4.401,0.176,3.57936429977417
opt-125m,2,162.094,0.494,0.247,20903740047360.0,0.09332051273977413,40.0,3.450772762298584,3.031928777694702,0.58,11.3727,4.396,0.176,3.58009672164917,2.763252019882202,0.56,11.2932,4.427,0.177,3.58009672164917
opt-125m,2,181.7947,0.44,0.22,20903740047360.0,0.04741015314393735,40.0,3.4502902030944824,0.9045971632003784,0.56,12.9775,3.853,0.154,3.5786375999450684,0.8366177082061768,0.58,12.6768,3.944,0.158,3.5786375999450684
opt-125m,2,208.1743,0.384,0.192,20903740047360.0,0.07977732597864814,40.0,3.449552059173584,1.1987882852554321,0.4,12.5049,3.998,0.16,3.57716703414917,0.6813091039657593,0.56,12.546,3.985,0.159,3.57716703414917
opt-125m,2,163.6389,0.489,0.244,20903740047360.0,0.04279464087885572,40.0,3.450772762298584,2.9794058799743652,0.58,11.2148,4.458,0.178,3.57863187789917,2.9074063301086426,0.56,11.424,4.377,0.175,3.57863187789917
opt-125m,2,163.6271,0.489,0.244,20903740047360.0,0.10761534950415808,40.0,3.4515109062194824,0.8917211294174194,0.5,11.2737,4.435,0.177,3.5779051780700684,0.7535906434059143,0.56,11.1905,4.468,0.179,3.5779051780700684
opt-125m,2,161.5537,0.495,0.248,20903740047360.0,0.07358172931026274,40.0,3.4507784843444824,2.8181543350219727,0.58,11.4328,4.373,0.175,3.5779051780700684,2.8819451332092285,0.56,11.4207,4.378,0.175,3.5779051780700684
opt-125m,2,162.489,0.492,0.246,20903740047360.0,0.07303221002107421,40.0,3.4500460624694824,3.7449593544006348,0.42,11.3002,4.425,0.177,3.5779051780700684,3.2288293838500977,0.44,11.2771,4.434,0.177,3.5779051780700684
opt-125m,4,178.5067,0.896,0.224,41807480094720.0,0.12925752873743476,40.0,4.5139479637146,1.9723718166351318,0.58,19.603,2.551,0.102,3.585212230682373,1.3179168701171875,0.56,19.309,2.589,0.104,3.585212230682373
opt-125m,4,177.2593,0.903,0.226,41807480094720.0,0.07026016324889497,40.0,4.5139479637146,1.8145405054092407,0.56,23.2917,2.147,0.086,3.585212230682373,1.736295461654663,0.56,21.5276,2.323,0.093,3.585212230682373
opt-125m,4,176.8373,0.905,0.226,41807480094720.0,0.06575053544038383,40.0,4.5139479637146,2.21761417388916,0.58,23.2333,2.152,0.086,3.585212230682373,1.7047477960586548,0.56,22.0854,2.264,0.091,3.585212230682373
opt-125m,4,176.5261,0.906,0.227,41807480094720.0,0.05113405476859043,40.0,4.5139479637146,0.9553705453872681,0.5,20.9959,2.381,0.095,3.585212230682373,0.9075570702552795,0.58,20.5753,2.43,0.097,3.585212230682373
opt-125m,4,173.2719,0.923,0.231,41807480094720.0,0.07150232609292288,40.0,4.5139479637146,2.4778337478637695,0.42,21.5781,2.317,0.093,3.585212230682373,2.249603271484375,0.44,21.5532,2.32,0.093,3.585212230682373
opt-125m,4,172.8336,0.926,0.231,41807480094720.0,0.07401700324080593,40.0,4.5139479637146,1.2233102321624756,0.48,20.8565,2.397,0.096,3.585212230682373,1.7051582336425781,0.44,20.9837,2.383,0.095,3.585212230682373
opt-125m,4,193.5925,0.826,0.207,41807480094720.0,0.0801805643401167,40.0,4.5139479637146,0.8868756890296936,0.5,20.744,2.41,0.096,3.585212230682373,0.691244900226593,0.54,20.6301,2.424,0.097,3.585212230682373
opt-125m,4,174.8274,0.915,0.229,41807480094720.0,0.06881811835082771,40.0,4.5139479637146,1.0923731327056885,0.4,21.2945,2.348,0.094,3.585212230682373,0.6682368516921997,0.62,20.9581,2.386,0.095,3.585212230682373
opt-125m,4,172.5163,0.927,0.232,41807480094720.0,0.09968114190269262,40.0,4.5139479637146,1.8479397296905518,0.42,21.5129,2.324,0.093,3.585212230682373,1.3648977279663086,0.44,21.1597,2.363,0.095,3.585212230682373
opt-125m,4,172.1008,0.93,0.232,41807480094720.0,0.08362595557227906,40.0,4.5139479637146,2.1586780548095703,0.42,21.5566,2.319,0.093,3.585212230682373,1.7954217195510864,0.44,21.4075,2.336,0.093,3.585212230682373
opt-125m,6,410.7201,0.584,0.097,62711220142080.0,0.0929662733724399,40.0,5.557145595550537,1.086334466934204,0.42,27.1905,1.839,0.074,3.578620433807373,0.6734726428985596,0.58,25.7064,1.945,0.078,3.578620433807373
opt-125m,6,405.5816,0.592,0.099,62711220142080.0,0.1341331328752858,40.0,5.557145595550537,1.693894386291504,0.42,23.8226,2.099,0.084,3.578620433807373,1.0184504985809326,0.46,23.1392,2.161,0.086,3.578620433807373
opt-125m,6,402.8198,0.596,0.099,62711220142080.0,0.12186274613195565,40.0,5.557145595550537,1.4873132705688477,0.52,26.2571,1.904,0.076,3.578620433807373,1.0402275323867798,0.56,26.2319,1.906,0.076,3.578620433807373
opt-125m,6,399.3054,0.601,0.1,62711220142080.0,0.06403914158026965,40.0,5.557145595550537,4.797295570373535,0.42,26.9562,1.855,0.074,3.578620433807373,4.2597432136535645,0.44,25.644,1.95,0.078,3.578620433807373
opt-125m,6,397.5933,0.604,0.101,62711220142080.0,0.15420092322601703,40.0,5.557145595550537,0.9004036784172058,0.52,27.1607,1.841,0.074,3.578620433807373,0.7177466750144958,0.58,25.6736,1.948,0.078,3.578620433807373
