model_name,sample_size,trial,epoch,train_loss,val_loss
opt-125m,2,0,1,0.5417,0.787686824798584
opt-125m,2,0,2,0.6562,0.7875348925590515
opt-125m,2,0,3,0.6007,0.7863512635231018
opt-125m,2,0,4,0.4579,0.7853376269340515
opt-125m,2,0,5,0.2541,0.7854679822921753
opt-125m,2,0,6,0.2006,0.786044716835022
opt-125m,2,0,7,0.0927,0.7886255383491516
opt-125m,2,0,8,0.053,0.7919511198997498
opt-125m,2,0,9,0.0254,0.7951042652130127
opt-125m,2,0,10,0.0183,0.798689603805542
opt-125m,2,0,11,0.0109,0.8024883270263672
opt-125m,2,0,12,0.0088,0.8063375353813171
opt-125m,2,0,13,0.004,0.8101598024368286
opt-125m,2,0,14,0.0024,0.8137912750244141
opt-125m,2,0,15,0.0016,0.8172075152397156
opt-125m,2,0,16,0.0012,0.8201845288276672
opt-125m,2,0,17,0.0012,0.8228103518486023
opt-125m,2,0,18,0.001,0.8251090049743652
opt-125m,2,0,19,0.0007,0.8272997140884399
opt-125m,2,0,20,0.0006,0.8292227983474731
opt-125m,2,0,21,0.0004,0.8308843374252319
opt-125m,2,0,22,0.0004,0.8323040008544922
opt-125m,2,0,23,0.0003,0.8336256146430969
opt-125m,2,0,24,0.0002,0.8348140716552734
opt-125m,2,0,25,0.0003,0.8357594609260559
opt-125m,2,0,26,0.0002,0.8364992141723633
opt-125m,2,0,27,0.0003,0.8371903300285339
opt-125m,2,0,28,0.0003,0.8377631902694702
opt-125m,2,0,29,0.0002,0.8382216691970825
opt-125m,2,0,30,0.0002,0.838604748249054
opt-125m,2,0,31,0.0002,0.838982880115509
opt-125m,2,0,32,0.0002,0.8392996788024902
opt-125m,2,0,33,0.0002,0.8395630717277527
opt-125m,2,0,34,0.0002,0.8397740125656128
opt-125m,2,0,35,0.0001,0.8399505615234375
opt-125m,2,0,36,0.0002,0.8400837779045105
opt-125m,2,0,37,0.0002,0.8401814699172974
opt-125m,2,0,38,0.0001,0.8402513265609741
opt-125m,2,0,39,0.0002,0.8402941823005676
opt-125m,2,0,40,0.0001,0.8403142094612122
opt-125m,2,1,1,0.6131,0.7876867055892944
opt-125m,2,1,2,0.8353,0.789002537727356
opt-125m,2,1,3,0.5164,0.802341639995575
opt-125m,2,1,4,0.3279,0.8432475328445435
opt-125m,2,1,5,0.1482,0.9263455271720886
opt-125m,2,1,6,0.066,1.0321439504623413
opt-125m,2,1,7,0.0256,1.1614075899124146
opt-125m,2,1,8,0.0144,1.3004605770111084
opt-125m,2,1,9,0.0069,1.4436299800872803
opt-125m,2,1,10,0.0035,1.5865932703018188
opt-125m,2,1,11,0.0014,1.7229467630386353
opt-125m,2,1,12,0.0013,1.8508360385894775
opt-125m,2,1,13,0.0007,1.969205617904663
opt-125m,2,1,14,0.0004,2.076455593109131
opt-125m,2,1,15,0.0003,2.172558069229126
opt-125m,2,1,16,0.0002,2.2584712505340576
opt-125m,2,1,17,0.0002,2.3348581790924072
opt-125m,2,1,18,0.0001,2.4027323722839355
opt-125m,2,1,19,0.0001,2.462657928466797
opt-125m,2,1,20,0.0001,2.5152597427368164
opt-125m,2,1,21,0.0001,2.561248302459717
opt-125m,2,1,22,0.0001,2.6012625694274902
opt-125m,2,1,23,0.0,2.6361355781555176
opt-125m,2,1,24,0.0,2.6664185523986816
opt-125m,2,1,25,0.0,2.6926093101501465
opt-125m,2,1,26,0.0,2.7151176929473877
opt-125m,2,1,27,0.0,2.7344067096710205
opt-125m,2,1,28,0.0,2.75087833404541
opt-125m,2,1,29,0.0,2.7648162841796875
opt-125m,2,1,30,0.0,2.7765355110168457
opt-125m,2,1,31,0.0,2.7863271236419678
opt-125m,2,1,32,0.0,2.7944374084472656
opt-125m,2,1,33,0.0,2.801072597503662
opt-125m,2,1,34,0.0,2.8064188957214355
opt-125m,2,1,35,0.0,2.8106303215026855
opt-125m,2,1,36,0.0,2.813866138458252
opt-125m,2,1,37,0.0,2.816251039505005
opt-125m,2,1,38,0.0,2.817897319793701
opt-125m,2,1,39,0.0,2.818911075592041
opt-125m,2,1,40,0.0,2.8193764686584473
opt-125m,4,0,1,0.6888,0.7876867055892944
opt-125m,4,0,2,0.615,0.7891862392425537
opt-125m,4,0,3,0.5334,0.7981057167053223
opt-125m,4,0,4,0.4848,0.8284436464309692
opt-125m,4,0,5,0.3389,0.8929306864738464
opt-125m,4,0,6,0.1986,0.9619708061218262
opt-125m,4,0,7,0.1456,1.021121859550476
opt-125m,4,0,8,0.1005,1.0735349655151367
opt-125m,4,0,9,0.0749,1.112114667892456
opt-125m,4,0,10,0.0452,1.143641710281372
opt-125m,4,0,11,0.0461,1.1656981706619263
opt-125m,4,0,12,0.0277,1.1877930164337158
opt-125m,4,0,13,0.0231,1.205815076828003
opt-125m,4,0,14,0.0146,1.2230640649795532
opt-125m,4,0,15,0.0097,1.2395178079605103
opt-125m,4,0,16,0.006,1.257444977760315
opt-125m,4,0,17,0.0055,1.2761809825897217
opt-125m,4,0,18,0.0042,1.2957826852798462
opt-125m,4,0,19,0.0025,1.3151705265045166
opt-125m,4,0,20,0.0027,1.3342381715774536
opt-125m,4,0,21,0.0016,1.3515651226043701
opt-125m,4,0,22,0.0012,1.3676588535308838
opt-125m,4,0,23,0.0011,1.3827321529388428
opt-125m,4,0,24,0.0008,1.3966610431671143
opt-125m,4,0,25,0.0007,1.4093619585037231
opt-125m,4,0,26,0.0006,1.420986533164978
opt-125m,4,0,27,0.0005,1.4315340518951416
opt-125m,4,0,28,0.0005,1.440852165222168
opt-125m,4,0,29,0.0005,1.4492281675338745
opt-125m,4,0,30,0.0005,1.4566256999969482
opt-125m,4,0,31,0.0004,1.4630712270736694
opt-125m,4,0,32,0.0005,1.4687438011169434
opt-125m,4,0,33,0.0004,1.473679780960083
opt-125m,4,0,34,0.0003,1.477777361869812
opt-125m,4,0,35,0.0003,1.4811784029006958
opt-125m,4,0,36,0.0003,1.483891487121582
opt-125m,4,0,37,0.0003,1.4859662055969238
opt-125m,4,0,38,0.0003,1.4874262809753418
opt-125m,4,0,39,0.0003,1.4883768558502197
opt-125m,4,0,40,0.0003,1.4888360500335693
opt-125m,4,1,1,0.9831,0.7876867055892944
opt-125m,4,1,2,0.9971,0.790633499622345
opt-125m,4,1,3,0.7678,0.8091400265693665
opt-125m,4,1,4,0.5743,0.8623064756393433
opt-125m,4,1,5,0.2614,0.9775469899177551
opt-125m,4,1,6,0.1346,1.1271058320999146
opt-125m,4,1,7,0.0586,1.303130865097046
opt-125m,4,1,8,0.0299,1.4918681383132935
opt-125m,4,1,9,0.0143,1.6876533031463623
opt-125m,4,1,10,0.0077,1.8916078805923462
opt-125m,4,1,11,0.0038,2.0920469760894775
opt-125m,4,1,12,0.0015,2.28163743019104
opt-125m,4,1,13,0.0011,2.4574878215789795
opt-125m,4,1,14,0.0006,2.618363857269287
opt-125m,4,1,15,0.0004,2.765446901321411
opt-125m,4,1,16,0.0003,2.8976166248321533
opt-125m,4,1,17,0.0002,3.014951229095459
opt-125m,4,1,18,0.0001,3.118055582046509
opt-125m,4,1,19,0.0001,3.2078235149383545
opt-125m,4,1,20,0.0001,3.2857444286346436
opt-125m,4,1,21,0.0001,3.3536553382873535
opt-125m,4,1,22,0.0001,3.4128925800323486
opt-125m,4,1,23,0.0001,3.4643216133117676
opt-125m,4,1,24,0.0,3.5087382793426514
opt-125m,4,1,25,0.0,3.547089099884033
opt-125m,4,1,26,0.0,3.580225706100464
opt-125m,4,1,27,0.0,3.6086113452911377
opt-125m,4,1,28,0.0,3.6327807903289795
opt-125m,4,1,29,0.0,3.653346538543701
opt-125m,4,1,30,0.0,3.6706480979919434
opt-125m,4,1,31,0.0,3.6850368976593018
opt-125m,4,1,32,0.0,3.6969192028045654
opt-125m,4,1,33,0.0,3.7066540718078613
opt-125m,4,1,34,0.0,3.714462995529175
opt-125m,4,1,35,0.0,3.720599412918091
opt-125m,4,1,36,0.0,3.7253220081329346
opt-125m,4,1,37,0.0,3.7288012504577637
opt-125m,4,1,38,0.0,3.7312026023864746
opt-125m,4,1,39,0.0,3.7326767444610596
opt-125m,4,1,40,0.0,3.733358860015869
