model_name,sample_size,epoch,train_loss,val_loss
opt-125m,2,1,0.5417,0.6477312445640564
opt-125m,2,2,0.6562,0.6459871530532837
opt-125m,2,3,0.6007,0.6443732976913452
opt-125m,2,4,0.4579,0.6389032006263733
opt-125m,2,5,0.2541,0.6342549920082092
opt-125m,2,6,0.2006,0.6319110989570618
opt-125m,2,7,0.0927,0.6284689903259277
opt-125m,2,8,0.053,0.625887930393219
opt-125m,2,9,0.0254,0.6228946447372437
opt-125m,2,10,0.0183,0.6185365915298462
opt-125m,2,11,0.0109,0.6141000986099243
opt-125m,2,12,0.0088,0.609797477722168
opt-125m,2,13,0.004,0.6062051057815552
opt-125m,2,14,0.0024,0.6023017168045044
opt-125m,2,15,0.0016,0.5985959768295288
opt-125m,2,16,0.0012,0.5952691435813904
opt-125m,2,17,0.0012,0.5923048257827759
opt-125m,2,18,0.001,0.5894805192947388
opt-125m,2,19,0.0007,0.5871702432632446
opt-125m,2,20,0.0006,0.5852326154708862
opt-125m,2,21,0.0004,0.5835388898849487
opt-125m,2,22,0.0004,0.5821767449378967
opt-125m,2,23,0.0003,0.5810955762863159
opt-125m,2,24,0.0002,0.5801592469215393
opt-125m,2,25,0.0003,0.5793813467025757
opt-125m,2,26,0.0002,0.578738808631897
opt-125m,2,27,0.0003,0.5782076120376587
opt-125m,2,28,0.0003,0.5777658224105835
opt-125m,2,29,0.0002,0.5773938894271851
opt-125m,2,30,0.0002,0.5770901441574097
opt-125m,2,31,0.0002,0.5768254995346069
opt-125m,2,32,0.0002,0.5765925049781799
opt-125m,2,33,0.0002,0.5763921737670898
opt-125m,2,34,0.0002,0.5762301683425903
opt-125m,2,35,0.0001,0.5761042237281799
opt-125m,2,36,0.0002,0.5760048627853394
opt-125m,2,37,0.0002,0.5759310722351074
opt-125m,2,38,0.0001,0.5758808255195618
opt-125m,2,39,0.0002,0.5758534073829651
opt-125m,2,40,0.0001,0.5758401155471802
opt-125m,2,1,0.6131,0.6946821212768555
opt-125m,2,2,0.8353,0.6817718744277954
opt-125m,2,3,0.5164,0.6632264852523804
opt-125m,2,4,0.3279,0.6578006148338318
opt-125m,2,5,0.1482,0.6811517477035522
opt-125m,2,6,0.066,0.731078565120697
opt-125m,2,7,0.0256,0.8034696578979492
opt-125m,2,8,0.0144,0.890457034111023
opt-125m,2,9,0.0069,0.9869534373283386
opt-125m,2,10,0.0035,1.0870389938354492
opt-125m,2,11,0.0014,1.1845276355743408
opt-125m,2,12,0.0013,1.2771387100219727
opt-125m,2,13,0.0007,1.363026738166809
opt-125m,2,14,0.0004,1.442094087600708
opt-125m,2,15,0.0003,1.5141007900238037
opt-125m,2,16,0.0002,1.5787951946258545
opt-125m,2,17,0.0002,1.6369636058807373
opt-125m,2,18,0.0001,1.6888138055801392
opt-125m,2,19,0.0001,1.7353894710540771
opt-125m,2,20,0.0001,1.7765296697616577
opt-125m,2,21,0.0001,1.812694787979126
opt-125m,2,22,0.0001,1.8442742824554443
opt-125m,2,23,0.0,1.8716809749603271
opt-125m,2,24,0.0,1.8954299688339233
opt-125m,2,25,0.0,1.9158929586410522
opt-125m,2,26,0.0,1.9335708618164062
