model_name,sample_size,eval_in_loss,eval_in_accuracy,eval_in_runtime,eval_in_samples_per_second,eval_out_loss,eval_out_accuracy,eval_out_runtime,eval_out_samples_per_second
opt-125m,2,0.7072273069620132,0.58,4.638735771179199,10.778798894011945,0.6931471824645996,0.42,4.3900110721588135,11.389492914288303
opt-125m,2,0.7075609177350998,0.44,4.003294944763184,12.489711772400463,0.7055494713783265,0.4,4.041194200515747,12.372580360928678
opt-125m,2,0.6855494719743729,0.46,3.9175233840942383,12.763165678348692,0.6931471824645996,0.42,4.046179533004761,12.357335998600428
opt-125m,2,0.7388479095697403,0.56,3.909545421600342,12.789210664684616,0.7059975463151932,0.5,3.9604098796844482,12.6249558805726
opt-125m,2,0.7700204372406005,0.44,3.994316339492798,12.517786712493844,0.7332616454362869,0.58,4.226632833480835,11.82974769039084
opt-125m,2,0.7095723640918732,0.46,4.343387603759766,11.511751784878355,0.6931471824645996,0.42,4.1808319091796875,11.959342323765032
opt-125m,2,0.6948250180482864,0.6,4.119982957839966,12.13597252989952,0.6931471824645996,0.42,3.9334826469421387,12.711381868906843
opt-125m,2,0.7236524885892868,0.6,4.018643617630005,12.442008985481399,0.7332616454362869,0.58,8.89557409286499,5.6207726986507
opt-125m,2,0.7436524879932404,0.56,8.994897365570068,5.558707116702177,0.7332616454362869,0.58,8.212865829467773,6.088008867818092
opt-125m,2,0.696388389468193,0.52,8.961580753326416,5.579372811146146,0.6931471824645996,0.42,8.275063514709473,6.042249695258737
opt-125m,4,0.7292387527227402,0.56,8.701066493988037,5.74642200867529,0.7064456212520599,0.6,8.566093444824219,5.836966444746276
opt-125m,4,0.71125019967556,0.62,8.653896808624268,5.777743958094253,0.7332616454362869,0.58,8.555431127548218,5.844240840067262
opt-125m,4,0.6816410434246063,0.66,8.708875179290771,5.741269563593845,0.7084570676088333,0.62,8.49121379852295,5.888439649075557
opt-125m,4,0.7312501990795135,0.58,8.880254983901978,5.63046895507386,0.7332616454362869,0.58,8.491050720214844,5.888552741884326
opt-125m,4,0.7244341742992401,0.56,8.81742262840271,5.67059129489153,0.6931471824645996,0.42,8.351307392120361,5.9870865305683845
opt-125m,4,0.9659975385665893,0.0,8.186083555221558,6.1079269057921,0.9535952496528626,0.0,8.461476564407349,5.909134135089584
opt-125m,4,0.7608593553304672,0.54,8.349674463272095,5.988257412901084,0.7332616454362869,0.58,8.890806674957275,5.623786662782235
opt-125m,4,0.7464456200599671,0.54,8.333636999130249,5.999781368593126,0.7135952568054199,0.48,8.403772830963135,5.949708661302501
opt-125m,4,0.7115838104486465,0.48,8.482081651687622,5.8947793776604165,0.6855494719743729,0.44,8.712551355361938,5.738847090895901
opt-125m,4,0.6480089944601058,0.66,8.478546619415283,5.897237137966957,0.7055494713783265,0.4,8.409512281417847,5.9456480146277855
